Street Address,City,State,Zip Code,Beds,Baths,SqFt,Close Price,MLS Status,Close Date
100 Main St,Houston,TX,77002,3,2,1800,288000,Sold,2025-09-12
102 Main St,Houston,TX,77002,3,2,1750,280000,Sold,2025-10-03
104 Main St,Houston,TX,77002,4,2,1900,295000,Sold,2025-11-20
106 Main St,Houston,TX,77002,3,2,1650,270000,Closed,2026-01-15
108 Main St,Houston,TX,77002,4,3,2000,320000,Sold,2025-12-08
110 Main St,Houston,TX,77002,2,1,1500,246000,Sold,2026-02-22
112 Main St,Houston,TX,77002,4,3,2100,330000,Sold,2025-08-30
114 Main St,Houston,TX,77002,3,2,1850,300000,Sold,2024-02-01
116 Main St,Houston,TX,77002,3,2,1800,400000,Sold,2025-10-10
100 Main St,Houston,TX,77002,3,2,1800,288000,Sold,2025-09-12
200 Oak St,Houston,TX,77003,3,2,1800,290000,Sold,2025-09-01
300 Elm St,Houston,TX,77002,3,2,1800,285000,Active,
302 Elm St,Houston,TX,77002,3,2,1800,285000,Pending,
400 Pine St,Houston,TX,77002,3,2,1200,200000,Sold,2025-09-01
402 Pine St,Houston,TX,77002,5,2,1800,310000,Sold,2025-09-01
500 Loan Ave,Houston,TX,77002,3,2,1800,50,Sold,2025-09-01
10 Rice Blvd,Houston,TX,77025,4,3,2000,500000,Sold,2025-09-15
12 Rice Blvd,Houston,TX,77025,4,3,1900,480000,Sold,2025-10-15
14 Rice Blvd,Houston,TX,77025,4,3,2100,520000,Sold,2025-11-15
20 River Oaks Blvd,Houston,TX,77019,3,2,1800,216000,Sold,2025-09-01
22 River Oaks Blvd,Houston,TX,77019,3,2,1800,270000,Sold,2025-09-05
24 River Oaks Blvd,Houston,TX,77019,3,2,1800,324000,Sold,2025-09-10
26 River Oaks Blvd,Houston,TX,77019,3,2,1800,360000,Sold,2025-09-15
28 River Oaks Blvd,Houston,TX,77019,3,2,1800,396000,Sold,2025-09-20
30 River Oaks Blvd,Houston,TX,77019,3,2,1800,468000,Sold,2025-09-25
32 River Oaks Blvd,Houston,TX,77019,3,2,1800,540000,Sold,2025-09-30
